Question #,Type,Question,Sub question,Schwartzman,McLaughlin,Marshall,Hill,Silverman,McDuffie,Bonds
17,Text,I prefer this scenario because:,,"I was forced to provider an answer to question 16, which was highly problematic because I submit that funding for the HPTF should be terminated, and the District government should shift to a decommodified housing approach, i.e., social housing.","Scenario 3 and 4 are basically equal for me, but I chose 3 because of the greater volume of affordable housing produced in Forest Hills. I favor these scenarios because I support expanded growth of market rate in communities with food and retail deserts in order to build the economic infrastructure to attract these providers, and enhanced affordability in communities with a lower proportion currently to address historical structural racism and create greater social and economic mobility for young people in lower income housing (as outlined in this study* and many others.) Investments in workforce housing in the 60-80 AMI range yield dividends both in diversity of backgrounds across our city and reduction of single occupancy vehicle trips (vs. if these workers live in outlying suburbs and drive in).*https://academic.oup.com/qje/article/133/3/1107/4850660","For the sake of this answer, I am assuming that land value is equal and that both projects will cost the same to build. I would need more information about massing, orientation, and configuration of the units. I supported an even split because we have to build accessible and affordable housing in all sections of the city. However, in Bellevue, workforce housing (80-120 MFI) highly correlates with market rate housing, therefore it is important to concentrate resources to the degree possible in the areas that need the most investment. These units would add to the current projects in Bellevue and potentially supplement a catalytic effect to help bring retail and grocery options to that underserved community.","16. This is tough because all of the scenarios will not bring as much housing to these areas. The second scenario sort of makes sense, but I am concerned about the 120%’ers having access to housing that the average person who is currently in that community cannot afford. (I would have to think about this)17. I don’t prefer this scenario because the amount of housing coming to certain areas does not reflect the cost of living and the salaries of the population currently in place. If I adopt this scenario, I am saying it’s OK to displace people. If new construction happens in the space with the people that live there, who would have to move in order for the new construction to happen, will not be able to come back to their community.",We need affordability in Forest Hills for working families.,"The second, third, and fourth scenarios are the only scenarios that provide housing in both Bellevue and Forest Hills, which is a key value and goal as detailed in my response to question 7. Of those three, the third scenario achieves the most affordable housing in Forest Hills, an area of the city where that is especially needed. Although I would have preferred to select a scenario with more deeply affordable housing in Forest Hills, this third scenario achieves three times more affordable housing than scenario four. Additionally, scenario three will produce a smaller market-rate project in Bellevue, which will help disrupt its uneven distribution of dedicated affordable units as compared with the rest of the city.","The 30 unit project in Forest Hills is more moderate to middle income, but still provides affordability. It will also help the development because the building is potentially eligible to become a tax credit building because of the 60 percent MFI condition. The Bellevue market rate project is desirable because the Bellevue area would love the addition of market rate units in their neighborhood. This will help with the distribution of market rate units throughout the city."
18,Text,"_The Office of Planning's Housing Framework for Equity and Growth, released in October 2019, sets targets for theproduction of affordable housing per planning area ""to achieve an equitable distribution of no less than 15 percent affordable housing in each planning area by 2050."" Progress on those targets since January 2019 is illustrated in theabove chart, from the Deputy Mayor for Planning and Economic Development._ What will you do to ensure that every planning area meets its stated target by 2050?",,This Framework should be revisited in a shift to publicly-funded and developed decommodified housing.,"Targets mean nothing without incentives and strategic efforts to hit the goal. Do we want to feel good about setting goals and then bemoan the fact that we did not hit them, or do we want to take action to meet these worthy goals, even if in some cases the action is controversial? I want to take action that helps people stay in DC living in high quality affordable housing.Therefore, in addition to working on changes to the Future Land Use Map and Comprehensive Plan, I would also propose zoning changes and increased development and preservation incentives in particular areas. Not only would I continue to advocate that two and four-unit zoning be allowed across the city, and that we vastly increase “by right” opportunities, but I would also provide greater incentives for creating affordable housing in particular neighborhoods (that aren’t currently hitting affordable targets) and give less incentive if building in neighborhoods already beyond their target. Affordable housing only works financially with government incentives, so if we are serious about hitting our housing targets, we must use those incentives (and zoning changes) to focus building in the geographic regions we desire. Lastly, I will continue to highlight the opportunity to partner more effectively with religious organizations and other non-profits to build deeply affordable housing on their existing properties.","This chart is a reflection of the lack of a reliable partner on the Council to ensure that the District’s housing goals are met. As the next At-Large Councilmember, I will make sure that affordable housing projects are properly supported in the budget and that the Council is a present and thoughtful partner in addressing housing needs.",I will request regularly monthly audits to ensure the DC is on schedule with respect to his deliverables. Expedite contract opportunities to local small businesses that produce evidence of their experience in the construction industry. Establish high-volume purchase contracts with suppliers to control cost of these development projects.,I would make part of the trust fund's scoring based on this distribution. A developer would get more points for projects in areas that need more affordability. And the professional scoring needs to be adhered to and not diverted from for political reasons.,"I will find ways to use the legislative tools at my disposal to increase density, pursue zoning changes that will allow for new multifamily housing, and provide additional investments to address higher land costs that may impede production.","We can pass a law that stipulates that any projects that are built have to take into account the affordable housing per planning area ratio. I'd like to look at the Fair Housing Act to see if there is a framework that we could follow.I support this target, and will work with the Mayor and my colleagues to achieve equitable distribution of at least 15% affordable housing in each area. I strongly believe that affordable housing should be spread across the city."
19,Rank,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,,,,,,,,
19a,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Eliminate voluntary agreements that take rents to market-rate,1,0,1,0,1,1,1
19b,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Make buildings built prior to 2005 subject to rent-stabilization,1,0,1,0,0,,
19c,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Make four-unit buildings subject to rent stabilization,1,0,1,1,1,,
19d,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,"Peg eligibility for rent stabilization to a dynamic date, so that new buildings are subject to rent stabilization after 15 years",0,0,1,1,1,,
19e,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,"Allow only one increase per year, with notice, for any D.C. rental housing that's exempt from rent stabilization",0,1,1,1,1,1,
19f,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Implement stronger oversight of all landlord petitions filed with the Department of Housing and Community Devleopment,1,1,1,1,1,,
19g,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,"Cap annual rent increases at the level of inflation, or consumer price index, and eliminate the extra two percent allowed under current law",1,1,1,0,1,,
19h,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Clarify what types of landlord upgrades qualify for capital improvement petitions,1,1,1,0,1,1,1
19i,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,"Narrow the scope of hardship petitions; stagger allowable increases; and make increases temporary, rather than permanent",1,0,1,1,1,1,1
19j,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Make rent increases under substantial rehabilitation petitions temporary rather than permanent,1,0,1,0,0,,1
19k,Option,_The Committee on Housing and Executive Administration has failed to advance any reform to the District’s existingrent stabilization policies._ Which policies for which you would vote for?,Eliminate vacancy increases,1,0,1,0,1,1,1
20,Text,"_In response to criticisms that it has failed to meet its targets for building extremely low-income housing (units restricted to residents earning 30 percent AMI or below), the Department of Housing and Community Development has stated that it cannot do so without coordination and support from other agencies, such as the D.C. Housing Finance Agency and theDepartment of Human Services._ What is the best path forward to ensure extremely low-income housing is reliablyproduced?",,"See previous answers, shift to social housing investment.","The availability of subsidies is the only path forward. The problem faced is that the Housing Production Trust Fund can provide a capital investment, but at this income level rents are too low to cover operating expenses. Therefore, a target at this income level is in effect an unfunded mandate, unless subsidies are also provided. Therefore, since LSRP and PSH vouchers are currently the best (and basically only) way of ensuring these units can be produced and filled, the vouchers must be available. With our current structures, there is no other way DHCD can produce housing to hit these targets in an economical way. This is yet another reason why we should be discussing preservation as much as we discuss production in every affordable housing conversation.Beyond the current structure, though it would take more analysis, there is an argument for putting these building funds into public housing repairs or tear downs to get our housing back up to livable levels. There’s also an opportunity for more creative ways of “creating” new housing, such as (cheaper than current cost of production) subsidies for individuals to turn bedrooms or basements into affordable housing for a single individual, especially since shadow rentals are a significant percentage of current available affordable units. To ensure low-income housing is reliably produced we must cover production and operating costs, and to do that at the cost levels required to continue to ramp up production we will need ongoing funding of current operating solutions (vouchers) as well as new and innovative ways to create new housing.","Step 0: Develop a shared goal between the Council and the Executive of housing and home ownership targets.Step 1: Provide an accurate and comprehensive SINGLE census of all District-owned and vacant land in the District of Columbia (this information is currently spread among several agencies in multiple data sources with inconsistent coding and data quality – in many cases the classification of the parcels is not consistent).Step 2: Assess each parcel for viability to develop and the best use of that land considering the future use map and our shared housing goals.Step 3: Develop an equitable neighborhood development prioritization order which takes into account historic allocation of resources and relative impact of each dollar spent.Step 4: Encourage the development of privately owned vacant parcels using all available tools and incentives available to the government (tax incentives, DOPA, condemnation, etc). Develop all viable District-owned parcels. Convert any parcels that are not viable into conservation easements and assign a responsible party to manage the parcel.Step 5: Continuously monitor Step 4 and adjust as necessary.",Greater oversight by the Council of projects for those earning 30% AMI or below by DHCD. I also believe a greater effort to include space for the same in all district funded projects. Establish low income housing requirements in all private projects in the district of Columbia.,This is true. Deeply affordable units need both a capital and operating subsidy to work. The solution is to make sure there are adequate housing vouchers paired with a 0-30% project for it to be successful.,"The District primarily uses the Housing Production Trust Fund to build extremely low-income housing. But as we know, that investment must be paired with project-based rental assistance to keep tenant rents low. The Executive has taken strides to increase the amount of funding we set aside for project-based LRSP but we can always do better. As mentioned earlier, I have co-introduced legislation to make the Housing Production Trust Fund funding decisions more transparent in an effort to maximize the number of affordable units created with government resources. However it is critical we focus on the implementation of the program. Currently IZ and other affordable units are sitting idle, this is unacceptable. We must push executive agencies to ensure that qualified residents are able to move in and occupy units already available and that the system of production and occupation works seamlessly.","I believe that we need the operating housing subsidy in the form of vouchers that can be married to the HPTF construction subsidy to ensure that extremely low-income housing is produced. Because many of the units at 0-30% are available to extremely low income households that utilize tenant based vouchers, we have to make use of our public housing stock.This means that we need to utilize the public housing units we have. We have to continue to repair them and make sure that they are occupied."
21,Choice,"_The Tenant Opportunity to Purchase Act has historically enabled the cooperative purchase of apartment buildings that are put up for sale by a tenants’ association. There are many ins and outs of the TOPA process, one of which is the ability of tenants to take buyouts, if the interested buyer is willing to make them. Buyouts have skyrocketed to, insome deals, $60,000 per unit, making TOPA, functionally,not an anti-displacement policy but, rather, a tenant-equitypolicy._ Do you think this is a suitable evolution of TOPA, or should the law be amended to either formalize or restrictthis?",,TOPA should be amended to restrict this.,TOPA should be amended to formalize this.,TOPA should be amended to restrict this.,TOPA should be amended to restrict this.,TOPA should be amended to restrict this.,TOPA should be amended to formalize this.,TOPA should be amended to formalize this.
22,Text,Please explain your selected response.,,I was forced to answer 21. But I submit that this needs study particularly in its impact on reaching the goal of no more 30% of household income going to housing.,"TOPA in its current form no longer serves as an anti-displacement policy. I would argue it is not an (asset creating) equity policy either, but rather a one-time cash infusion policy. The major problem with the current structure is it creates payouts for a few, but doesn’t actually create more equitable housing, economic inclusivity or keep neighborhood character and diversity, the very things it was created to do.It also makes all housing less affordable since the current TOPA process is long, costly for all sides, and creates friction in the system that holds up the development (and increases costs) of housing. I would formalize the possibility of a buyout as one option in a streamlined process. The goal of TOPA should be to get to resolution quickly and in a way that benefits both the residents of the building and the District’s overall affordable housing goals. We should provide public financial support (in the form of low interest loans) to help tenants purchase their property if they desire. We should thenstreamline the process to enable tenants either to buy, take an $X payout based on formalized guidelines, or have a third alternative agreed upon by the parties that must be finalized in a certain timeframe. The key is it must be easy to understand, have clear guidelines on the options, and have a defined timeframe. If we can streamline TOPA in a way that is fair to all parties, we can reduce overall housing costs in the city and free up more affordable housing options. I would also support adding Community Opportunity to Purchase Act legislation so that non-profit developers would have an opportunity to purchase within a streamlined process. I emphasize again though that the process must be time-bound with clear decisions that are formalized options.Also, since there is no opportunity to explain the answer to the next question, I would not support expanding TOPA back to single family houses in its current form because it could hold up a sale by an individual/family in a way that creates significant repercussions for their move and next steps. It would also reduce “shadow rentals” (rentals outside of apartment buildings), which is one of the largest sources of affordability in the District, since single homeowners would be more hesitant to rent their property if TOPA existed on their single family home. I would however support an updated single family TOPA law that balances support of tenants and support of the family selling the property and/or an updated law that exempts individual owners from single family TOPA but still includes commercial owners. Either way though, it must be streamlined.","This practice raises the cost of housing as the cost of equity extraction is only temporarily borne by the developer and does not create a chance for tenants to develop generational wealth like ownership of a building creates. Further, the equity extraction is generally passed on to remaining tenants or future tenants in the form of higher base rent. I would support amending TOPA to ensure that tenants were empowered to become part owners of the building and instead of a single buyout. That would allow a former tenant to access the cashflow of a profitable property.","I believe the city should be next in line to purchase properties that are put up for sale by the tenants associations, modify the district opportunity to purchase act to acquire these properties, control affordable housing availability, provide assistance to the tenant associations across the city to ensure better management of the real property, assist with the funds needed.","We need to preserve all the affordable units we can. I understand individual liberties, but I am concerned about affordability in perpetuity, which will benefit for generations not just one generation if at that.","The original intent of TOPA was to ensure that District families could stay in their own homes and not be displaced. Given the evolution of the program, permanent changes to the program should be considered and formalized after a robust hearing to establish a legislative record. Tenants should have the opportunity to make informed choices without undue pressure about the benefits that may accrue with buy outs as well as the opportunity to remain in their homes. So, the evolution of TOPA should: 1. help determine whether the buyouts should be restricted and 2. codify provisions to ensure that tenants are not being taken advantage of in the buyout process","Historically, the intention of TOPA was not to provide tenants with a buyout. It was designed to help tenants purchase their buildings and stay in their homes. However, TOPA has evolved to the point where buyouts are more and more popular. Buyouts have skyrocketed, and have turned TOPA into a and there needs to be a review of the law to make sure that the rights of tenants are not diminished"
23,Text,_The D.C. Council voted to exempt single-family homesales from TOPA in 2017._ Would you support reinstatingsingle-family TOPA?,,Yes,No,Yes,Yes,Yes,Yes,No
24,Text,"Given widespread support for limited-equity co-ops and community land trusts, what will you do to encourage their proliferation?",,"Use DOPA, with necessary rule changes, and establishing a DC Public Bank. District government should maximize its contribution by shifting its housing budget from subsidizing luxury/market rate housing along with tax hikes on the big corporate/developer sector which has received big tax cuts from the Trump federal legislation.","I believe land trusts and limited equity co-ops are part of a holistic affordable housing solution, combined with programs enabling home ownership in more traditional settings that enable greater wealth creation. Land trusts also ensure stewardship of broader community good in important areas of the city that have enhanced public value because of their natural beauty, environmental importance, etc. Lastly, they are a great example of the opportunity for the District to be much more innovative in the way it engages in public-private partnerships. As the nation’s capital and a highly visible city, we could leverage social impact bonds, philanthropic investment, and corporate partnerships in a much more significant way. Community land trusts are a great example of where we could do this (as Douglass Community Land Trust's funding and structure shows). Overall, we could expand community land trusts through a focused effort to build public-private partnership to buy private land, convert public land, or provide tax incentives to transfer individual or corporately held land to land trusts.On the limited equity co-op side, I have concerns on public investment and support of this option without long-term support of maintenance and upkeep needs. However, I think we could expand the definition of limited equity co-op and engage in innovative ways of providing permanent supportive housing voucher recipients a stake in certain buildings that would create a pathway to equity and a sense of ownership in the building where they live. For instance, permanent supportive housing vouchers could become time bound for individuals who choose this option, with 50% of an individual’s monthly contribution going to earning into a limited equity portion of their home. The developer, a non profit or private organization, would build with the agreement that a certain percentage would be financed and owned by the city as a silent and limited partner, who would then transfer this portion to tenants as an equity building strategy. There is much more detail to build on this idea, but it’s an example of ways we could begin to create innovative policies that would create equity and affordability by creating shared ownership and accountability.","The communities that would most benefit from limited-equity co-ops and community land trusts are generally working families and would benefit from ready-made deals as opposed to being expected to organize and develop a project. As a Councilmember, I would encourage the maturation of these projects in concert with Advisory Neighborhood Commissioners to ensure they are consistent with the needs of neighborhoods.",Establish a seed funding amount for the trust or co-op and then add a small property tax increase to provide a sustainable source of funds.,Let's pilot a few more land trusts and make it easier to do limited equity co-ops.,The cost of living in the District is growing and forcing families that have been here for generations out of their neighborhoods. Finding solutions to affordable housing include helping boost limited equity coops as they have been shown to help achieve more affordable housing in the District. Unique programs like DMPED’s Equity RFP that I initiated in collaboration with the executive has resulted in a disposition which utilizes the land trust approach at the old Langston/Slater schools and is an example of the type of innovative approach to redevelopment that both support racial equity as well as community land trusts in the creation of new housing and community amenities in the District.,I have two bills that I am planning to move through my Committee: 1) creates a permanent council for limited equity co-ops 2) expand tax abatements for buildings that have a certain percentage of low income I also supported the funding of an additional FTE at DHCD that would focus on assisting limited equity co-ops in their formation
25,Text,"The District Opportunity to Purchase Act ""gives the mayor the authority to purchase certain apartment buildings in order to maintain existing rental affordable units for tenants and increase the total number of affordable rental units within theDistrict."" DOPA is primarily used as a preservation tool: If tenants do not exercise their TOPA rights, the District canmake an offer on a building, as long as it ""consists of five or more rental units and 25 percent or more of those units are'affordable' at 50 percent of the median family income."" What would you change about this, if anything?",,Change criteria to facilitate the creation of social housing.,"In their current form, TOPA and DOPA are not fully accomplishing the purpose for which they were created. In both cases, in only rare instances are they invoked. As outlined in more detail in previous answers, I would advocate for actions to streamline TOPA and introduce Community Opportunity to Purchase Act (COPA) legislation as a way of providing community (non-profit) organizations the chance to preserve affordable housing before government investment.","This is a rarely used tool, I would encourage the Executive to employ it more frequently along with the ability to purchase properties. Further, the District also has the ability to use its condemnation authority to immediately acquire a property.",I would raise the rental units to 50% income-based and lower the affordable AMI to 30%.,We need to use DOPA more and faster.,"DOPA is an innovative tool in the District’s affordable housing toolbox but it is underutilized. Last year, the Council unanimously passed legislation to make improvements to the program and we are hopeful that this will help the program operate as originally intended. Based upon a review of any improvements I would look to the budget process and determine if additional funding is required to support the implementation of a more robust DOPA program.",The program has not been around long enough to truly gauge its effectiveness. We need to allow more time to determine if it is working. One thing I would change is that DOPA facilitates that sale.
26,Text,"Describe your views of the District's inclusionary zoning policy. What do you think it should be achieving? What is it currently failing to do? What, if anything, you think should be changed about it?",,Inclusionary zoning is simply one component of the failed approach to supply truly affordable housing to a large fraction of DC’s residents. See previous answers.,"Inclusionary zoning is an example of a feel good policy that appears to add a few units of affordable at “no cost,” but in reality drives up the overall rental market costs since the higher the IZ requirement the higher the rents will be on the non-subsidized units.When a housing provider is creating expanded IZ zoning (20%), I believe the District should provide more “gives,” such as eliminating parking minimums, and we should also work with developers and housing advocates to determine how to better match supply (of IZ units) and demand (individuals who would qualify) so that these units are quickly and efficiently housing individuals. IZ policy is not the path to creating significant affordable housing in the District, and at worst it can actually create less affordability due to increases in costs of the other units. Therefore, my major focus would be on ensuring effectiveness of the process of getting IZ units filled and win-win negotiation situations, like parking minimum reductions for expanded IZ zoning, to add more affordable units.","The Inclusionary Zoning program is a wonderful idea. Residents that have found success through the IZ lottery are generally pleased and satisfied with the program. However, I have spoken to many more residents who are highly frustrated with a program that is opaque and seems arbitrary. Residents have even alleged that only politically connected residents are able to be placed through the IZ lottery. I know that the challenges that IZ faces are based on limited resources and a limited number of available units. The first thing I would do is require DHCD to ensure that the current IZ list is only populated by persons who are still in the District of Columbia and stillseeking housing. Once we know that the list is accurate, I would then work with DHCD to ensure they are properly resourced to conduct a periodic review of the list to ensure it remains accurate. I would then work to expand the number of available units through providing incentives to building owners to make additional units available to the IZ program. I would then publicize an anonymized version of the IZ list and the locations of IZ units so that residents would have transparency into the availability of units and their relative position on the list. This information would need to be carefully anonymized to protect the identities of residents, but the enhanced transparency would allow residents to have a greater degree of trust in the program.",It should be achieving the goal of making certain that people that only bring home a certain income and live in spaces that are usually unattainable. It should not only provide housing without stainless steel appliances and marble countertops in the regular apartments or carpet versus hardwood floors.It’s not that it is failing but the lottery on available units sometime doesn’t match the timing or someone with an IZ certificate to have the income coming in to support their portion of the rent.I think the program operates great and more time is needed and data is needed to show how the participants of the program feel about the current operation practices.,"We should be getting more affordability out of the projects being built. In 2016, I spearheaded a resolution that recommended the Zoning Commission increase the IZ requirements. We need to do that again, and get more out of IZ.","Inclusionary zoning is crucial to ensuring that we are creating affordable housing throughout the District. This policy is one of the tools that we to help ensure that affordable housing is produced across all 8 wards. The council must determine which policy decisions would be best to help IZ grow at a smart responsible rate for the District, recognizing its limitations. As noted above, one of the current weaknesses of the program is in its implementation, as units that have been constructed under the program remain vacant, which is unacceptable. However, this is only one tool at our toolkit and must be combined with other resources including leveraging public assets, incentivizing development in west of the park and downtown, and increasing our commitment to utilizing DOPA on critical projects, such as my support for the acquisition of the Wardman Park Marriott to substantial increase access to affordable housing in Ward 3.","Inclusionary Zoning (IZ) is supposed to provide additional affordable units in market rate buildings. As far as changes go, the lottery process needs to be revamped so that more people have a chance to be selected for a unit."
27,Choice,"Housing is publicly subsidized in two main ways: project-based subsidies (such as Housing Production Trust Fund dollars or Low-Income Housing Tax Credits) that are tied toa unit and reduce its cost for any qualified tenants who livethere and tenant-based subsidies (i.e., portable vouchers)that a qualified tenant can use on any market-rate unit.Acknowledging that an even split is not realistic, how doyou think the District should divide its public subsidymoney between these two methods?",,Mostly tenant-based,Mostly project-based,Mostly tenant-based,Mostly tenant-based,Mostly project-based,Mostly tenant-based,Mostly project-based
28,Choice,"_The District's current Comprehensive Plan was written in 2006 and amended in 2021. Despite an extensiveamendment process, it is still out-of-date, and still restrictsdensity in affluent neighborhoods more than elsewhere. An April 2020 staff report from the Office of Planning statesthat a rewrite of the Comprehensive Plan should becomplete by 2025._ Do you commit to supporting thenecessary budget and process for a rewrite of theComprehensive Plan by 2025?",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
29,Text,"In a rewrite of the Comprehensive Plan, what would be your top priority?",,Preserving green space,Creating opportunities for new housing,Creating opportunities for new housing,Preserving the character of existing neighborhoods,Creating opportunities for new housing,Creating opportunities for new housing,Creating opportunities for new housing
30,Choice,Should apartments be legal District-wide?,,No,Yes,Yes,Yes,Yes,Yes,Yes
31,Choice,"Would you support amending the District’s preservation laws to remove height and mass from the purview ofhistoric review? _Under such a proposal, District historic officials would still review materials, aesthetics and compatibility of designated structures, but overall density would be controlled by zoning the same way it is for non-designated structures._",,No,Yes,Yes,No,Yes,Yes,Yes
32,Choice,"_Traditional smart-growth planning principles concentratehigh-density construction, including apartment buildings,on major corridors. This, by design, leaves residentialareas off of corridors untouched._ Do you agree with thisapproach to the distribution of housing withinneighborhoods?",,No,No,Yes,No,No,Yes,No
33,Text,"_The mayor has committed the District to attempting a fair distribution of affordable housing production across planning areas by 2050. More unevenly distributed than affordable housing is land zoned for production, distribution, and repair—basically, industrial uses. PDR zones are largely concentrated in the Near Northeast planning area. In a Comprehensive Plan rewrite,_ would you support a fair-share approach to the location of parcels zoned for PDR, which would necessitate adding PDR zoning to planning areas where there currently is none or very little?",,Needs study,"Yes, though “fair share” wouldn’t be a completely proportional allocation simply by land area per ward. Some areas are better positioned for industrial zones due to their geography or land values, and therefore should have that zoning, but I would support a broader distribution across all of DC of light manufacturing and other PDR zoning that could create jobs and assets in the District.","Yes, particularly because the evolving nature of PDR businesses generally create a dual maker and retail space. The presence of some of these new and trendy businesses such as breweries would present an opportunity to revitalize struggling commercial corridors such as Georgetown and Cleveland Park.","We must first evaluate the environmental, traffic and health concerns, including PDR‘s in residential zones.",Yes,"As the current Councilmember of Ward 5, and champion of the Industrial Land Transformation Taskforce/Ward 5 Works study, I have been deeply engaged in the future of PDR land in the District. PDR uses impact the health and vitality of neighborhoods and have too long been concentrated in low income communities of color. It is critical that there is a recognition that services and benefits of the PDR uses accrue to all District residents and their burdens can no longer disproportionately impact communities of color. I advocated vigorously for changes in the 2020 Comprehensive Plan update and will continue to strongly support these policies in the Comprehensive Plan rewrite.",Yes
34,Choice,"Given the opportunity, how would you amend the District’s Height Act?",,I would not amend the Height Act,Removing or raising the Height Act entirely,Raising the Height Act only for buildings that will produce more affordable housing than required by inclusionary zoning,I would not amend the Height Act,Removing or raising the Height Act everywhere but downtown,Removing or raising the Height Act within 1/4 mile ofMetro stations,Raising the Height Act only for buildings that will produce more affordable housing than required by inclusionary zoning
35,Choice,"Do you think there are not enough cars, enough cars, ortoo many cars in the District?",,Too many cars,Too many cars,Too many cars,Enough cars,Too many cars,Enough Cars,Too many cars
36,Choice,_The Sustainable D.C. 2.0 plan includes a target of reducing commuter trips made by car to 25 percent._ Do you agree that incenting residents and visitors to drive less should be an explicit policy goal of the District?,,Yes,Yes,Yes,No,Yes,Yes,Yes
37,Choice,"_Internal data for WMATA estimates that bus delays cost the system about $14 million per year. Buses are primarily delayed by sitting in single-occupancy vehicle traffic. Bus riders are more frequently Black and brown, and less affluent, than rail riders and drivers._ Would you supportremoving single-occupancy vehicle parking and travellanes for dedicated bus lanes, which make bus servicefaster and more reliable?",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
38,Choice,"If yes, how do you think DDOT should prioritize repurposing street space to create dedicated bus lanes?",,DDOT should prioritize repurposing existing travel lanes.,DDOT should repurpose whichever lane its staff believeis best on any given street.,DDOT should prioritize repurposing existing travel lanes.,I do not think that DDOT should repurpose street spacefor dedicated bus lanes.,DDOT should prioritize repurposing existing travel lanes.,DDOT should repurpose whichever lane its staff believeis best on any given street.,DDOT should prioritize repurposing existing parking lanes.
39,Choice,"_A 12-year study, published in 2019, found that protected bike lanes drastically lowered fatal crash rates *for all roadusers* in Seattle (-60.6%), San Francisco (-49.3%),Denver (-40.3%) and Chicago (-38.2%), among others._ Would you, as council chair, support removing single-occupancy vehicle parking and travel lanes for protected bike lanes?",,Yes,Yes,Yes,No,Yes,Yes,Yes
40,Choice,"If yes, how do you think DDOT should prioritize repurposing street space to create protected bike lanes?",,DDOT should prioritize repurposing existing parking lanes.,DDOT should repurpose whichever lane its staff believeis best on any given street.,DDOT should prioritize repurposing existing travel lanes.,I do not think that DDOT should repurpose street space for protected bike lanes,DDOT should prioritize repurposing existing travellanes.,DDOT should repurpose whichever lane its staff believeis best on any given street.,DDOT should prioritize repurposing existing parkinglanes.
41,Choice,"Road pricing, or congestion pricing, in which motorists paydirectly for driving on a particular road or in a particulararea, has successfully reduced congestion, improved airquality, and raised money in London, Stockholm,Singapore, Milan, and elsewhere by reducing the numberof vehicles on the road and improving transit performance.New York will be implementing road pricing in the next fewyears. However, many drivers are loathe to pay forsomething that they currently get for free. Would you, ascouncil chair, support road pricing as a means to reducecongestion to speed up transit, improve air quality, andraise revenue?",,Yes,Yes,Yes,No,Yes,Yes,Yes
42,Choice,How would you propose reinvesting the $90 to $500 million in revenue road pricing is estimated to generate for theDistrict?,,"Use this revenue for electrification of bus service, increasing its availability and convenience particularly where it is most needed, e.g., east of the river, as a component of essentially Free Metro as proposed by Councilmember Allen’s legislation.","My website- GrahamForDC.com- outlines a list of my top policy goals. Road pricing, specifically bridge toll pricing, is one of those policy goals and I use it to enable a cost neutral way of implementing the entire policy slate. From that proposal, I would use this revenue to support investments in funding the Birth to Three Act, expanded public transportation services, and supporting small businesses in order to ensure we have a thriving local economy that draws foot traffic from residents and incents commuters to come into the District (ideally via metro and bus). That said, I also believe maintaining some flexibility of how to spend these funds is prudent to ensure that as federal supports expire and tax revenues possibly decline due to commercial vacancies the District remains in a strong financial position.","I would use the additional revenue to provide cash incentives to residents to enable the purchase of electric bikes and vehicles for residents, expand bus service, and prioritize maintenance of road infrastructure to serve residents who live in transit-starved neighborhoods.",I do not support road pricing,Make streets safer for everyone,"This revenue should be used to support Vision Zero, the development of repurposed street space, and improving access to public transit throughout the city, particularly in neighborhoods underserved by transit, especially communities east of the Anacostia River",I would invest a large portion of this into homeownership programs.
43,Choice,"In 2019, the council budgeted $475,000 for a road pricing study. The study is complete, but Mayor Bowser has not yet released it. Do you think the study should be made public?",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
